Стоимость тарифа,Дата создания,Глубина бронирования,Дата заезда,День,Количество бронирований
6,2015-04-17,6,2015-04-18,8,114
4,2015-06-08,1,2015-06-09,7,166
4,2015-06-04,3,2015-06-04,17,161
4,2015-06-04,1,2015-06-05,16,162
4,2015-06-04,3,2015-06-06,21,163
4,2015-06-04,8,2015-06-07,12,164
5,2015-06-08,28,2015-07-03,4,190
5,2015-06-08,28,2015-07-04,3,191
5,2015-08-19,12,2015-08-30,4,248
5,2015-08-19,16,2015-08-31,6,249
5,2015-08-19,14,2015-09-01,6,250
6,2015-07-21,2,2015-07-22,10,209
6,2015-07-21,5,2015-07-23,13,210
6,2015-07-21,3,2015-07-24,11,211
6,2015-07-21,7,2015-07-25,10,212
6,2015-07-21,5,2015-07-26,6,213
6,2015-07-21,10,2015-07-27,7,214
6,2015-07-21,10,2015-07-28,6,215
5,2015-10-01,4,2015-10-01,17,280
5,2015-10-01,3,2015-10-02,15,281
4,2015-09-04,22,2015-09-26,5,275
4,2015-09-04,27,2015-09-27,7,276
4,2015-09-04,29,2015-09-28,15,277
4,2015-10-15,24,2015-11-03,11,313
6,2015-10-08,0,2015-10-08,9,287
6,2015-10-08,5,2015-10-09,2,288
6,2015-10-08,6,2015-10-10,2,289
6,2015-10-08,3,2015-10-11,6,290
6,2015-12-16,20,2015-12-31,13,371
6,2015-12-16,16,2016-01-01,11,372
6,2015-12-16,20,2016-01-02,7,373
6,2015-12-16,23,2016-01-03,3,374
6,2015-12-16,23,2016-01-04,3,375
6,2015-12-16,20,2016-01-05,1,376
6,2015-12-16,21,2016-01-06,1,377
6,2015-12-16,25,2016-01-07,1,378
6,2015-12-16,26,2016-01-08,1,379
6,2015-12-16,24,2016-01-09,1,380
8,2015-12-16,6,2015-12-20,23,360
8,2015-12-16,9,2015-12-21,19,361
8,2015-12-16,7,2015-12-22,22,362
8,2015-12-16,10,2015-12-23,27,363
4,2015-11-24,0,2015-11-24,3,334
4,2015-11-19,4,2015-11-22,2,332
4,2015-11-19,4,2015-11-23,4,333
4,2015-11-01,15,2015-11-14,12,324
3,2015-10-23,19,2015-11-07,8,317
3,2015-10-23,20,2015-11-08,6,318
3,2015-10-23,21,2015-11-09,4,319
3,2015-10-21,10,2015-10-30,4,309
3,2015-10-21,12,2015-10-31,4,310
3,2015-10-14,14,2015-10-25,4,304
3,2015-10-14,12,2015-10-26,8,305
25,2015-12-26,7,2015-12-30,13,370
25,2015-12-26,10,2015-12-31,14,371
25,2015-12-26,8,2016-01-01,12,372
25,2015-12-26,11,2016-01-02,8,373
25,2015-12-26,8,2016-01-03,4,374
25,2015-12-26,12,2016-01-04,4,375
25,2015-12-26,14,2016-01-05,2,376
9,2015-12-19,4,2015-12-19,24,359
8,2015-12-23,3,2015-12-23,28,363
8,2015-12-16,6,2015-12-20,24,360
8,2015-12-16,9,2015-12-21,20,361
8,2015-12-16,11,2015-12-22,23,362
2,2015-11-27,9,2015-12-04,11,344
2,2015-11-27,10,2015-12-05,14,345
2,2015-11-27,14,2015-12-06,9,346
2,2015-11-27,15,2015-12-07,5,347
2,2015-11-27,14,2015-12-08,9,348
4,2015-04-03,5,2015-04-04,13,100
5,2015-04-11,5,2015-04-12,5,108
5,2015-07-05,4,2015-07-05,2,192
3,2015-06-09,4,2015-06-11,24,168
3,2015-06-09,6,2015-06-12,34,169
3,2015-06-12,3,2015-06-13,34,170
3,2015-06-08,0,2015-06-08,6,165
3,2015-06-08,3,2015-06-09,8,166
5,2015-07-21,2,2015-07-21,5,208
5,2015-09-15,2,2015-09-15,1,264
5,2015-09-15,3,2015-09-16,1,265
5,2015-09-15,5,2015-09-17,1,266
5,2015-09-15,6,2015-09-18,1,267
5,2015-09-15,7,2015-09-19,3,268
5,2015-09-15,7,2015-09-20,4,269
5,2015-09-15,9,2015-09-21,6,270
5,2015-09-15,10,2015-09-22,8,271
12,2015-01-31,6,2015-02-05,31,42
12,2015-01-31,7,2015-02-06,35,43
12,2015-01-31,7,2015-02-07,30,44
12,2015-01-31,11,2015-02-08,18,45
8,2015-02-04,3,2015-02-04,23,41
9,2015-01-24,11,2015-01-30,37,36
9,2015-01-24,7,2015-01-31,36,37
9,2015-01-24,12,2015-02-01,22,38
15,2015-01-24,32,2015-02-22,21,59
15,2015-01-24,31,2015-02-23,10,60
15,2015-01-24,33,2015-02-24,7,61
15,2015-01-24,35,2015-02-25,8,62
15,2015-01-24,36,2015-02-26,9,63
10,2014-12-17,25,2015-01-09,15,15
10,2014-12-17,29,2015-01-10,12,16
10,2014-12-17,27,2015-01-11,8,17
10,2014-12-17,29,2015-01-12,8,18
12,2015-03-16,3,2015-03-17,11,82
12,2015-03-16,5,2015-03-18,12,83
12,2015-03-16,5,2015-03-19,22,84
10,2015-03-02,25,2015-03-25,31,90
10,2015-03-02,27,2015-03-26,30,91
10,2015-03-02,30,2015-03-27,25,92
10,2015-03-02,29,2015-03-28,25,93
5,2015-05-14,3,2015-05-14,2,140
5,2015-05-14,4,2015-05-15,4,141
5,2015-05-14,2,2015-05-16,2,142
5,2015-05-14,7,2015-05-17,3,143
3,2015-04-30,30,2015-05-28,13,154
3,2015-04-30,29,2015-05-29,11,155
3,2015-04-30,34,2015-05-30,14,156
3,2015-04-30,34,2015-05-31,12,157
3,2015-04-30,32,2015-06-01,16,158
3,2015-04-30,36,2015-06-02,15,159
3,2015-04-30,36,2015-06-03,16,160
3,2015-04-30,39,2015-06-04,18,161
3,2015-04-30,38,2015-06-05,17,162
3,2015-04-30,38,2015-06-06,22,163
2,2015-05-04,21,2015-05-20,5,146
2,2015-05-04,17,2015-05-21,4,147
2,2015-05-04,20,2015-05-22,7,148
2,2015-05-04,20,2015-05-23,7,149
4,2015-05-06,4,2015-05-07,11,133
4,2015-05-06,4,2015-05-08,10,134
4,2015-05-06,5,2015-05-09,12,135
6,2015-04-19,2,2015-04-19,5,115
2,2015-11-04,3,2015-11-07,9,317
2,2015-11-07,1,2015-11-08,7,318
2,2015-11-07,4,2015-11-09,5,319
2,2015-11-10,5,2015-11-10,9,320
2,2015-11-10,22,2015-12-02,4,342
2,2015-11-10,25,2015-12-03,9,343
2,2015-11-10,26,2015-12-04,12,344
2,2015-11-10,25,2015-12-05,15,345
2,2015-11-10,29,2015-12-06,10,346
15,2015-11-27,29,2015-12-25,41,365
15,2015-11-27,32,2015-12-26,28,366
15,2015-11-27,33,2015-12-27,20,367
15,2015-11-27,34,2015-12-28,8,368
7,2015-12-23,6,2015-12-24,32,364
3,2015-06-09,7,2015-06-11,25,168
3,2015-06-09,4,2015-06-12,35,169
3,2015-06-12,3,2015-06-13,35,170
5,2015-08-11,3,2015-08-11,6,229
5,2015-08-23,5,2015-08-25,4,243
5,2015-08-23,3,2015-08-26,3,244
5,2015-08-23,4,2015-08-27,2,245
5,2015-08-23,6,2015-08-28,2,246
5,2015-08-23,11,2015-08-29,3,247
5,2015-08-23,9,2015-08-30,5,248
5,2015-08-23,8,2015-08-31,7,249
5,2015-08-23,12,2015-09-01,7,250
5,2015-08-23,12,2015-09-02,7,251
5,2015-08-23,12,2015-09-03,10,252
5,2015-08-23,17,2015-09-04,7,253
5,2015-09-15,0,2015-09-15,2,264
5,2015-09-15,4,2015-09-16,2,265
5,2015-09-15,5,2015-09-17,2,266
5,2015-09-15,7,2015-09-18,2,267
5,2015-09-15,9,2015-09-19,4,268
5,2015-09-15,8,2015-09-20,5,269
5,2015-09-15,11,2015-09-21,7,270
5,2015-09-15,11,2015-09-22,9,271
8,2015-01-23,14,2015-02-04,24,41
8,2015-01-23,17,2015-02-05,32,42
8,2015-01-23,18,2015-02-06,36,43
8,2015-01-23,16,2015-02-07,31,44
8,2015-01-23,18,2015-02-08,19,45
9,2015-01-17,3,2015-01-17,11,23
6,2015-02-16,4,2015-02-16,33,53
6,2015-02-16,1,2015-02-17,43,54
6,2015-02-16,2,2015-02-18,37,55
6,2015-02-16,8,2015-02-19,32,56
10,2015-03-16,8,2015-03-20,28,85
10,2015-03-16,5,2015-03-21,30,86
10,2015-03-16,7,2015-03-22,18,87
10,2015-03-16,8,2015-03-23,22,88
10,2015-03-16,13,2015-03-24,27,89
10,2015-03-16,11,2015-03-25,32,90
6,2015-04-19,2,2015-04-19,6,115
3,2015-05-21,3,2015-05-23,8,149
6,2015-05-01,3,2015-05-01,8,127
5,2015-06-21,1,2015-06-21,9,178
4,2015-09-25,4,2015-09-28,16,277
4,2015-09-25,8,2015-09-29,9,278
4,2015-09-25,10,2015-09-30,12,279
4,2015-09-25,7,2015-10-01,18,280
4,2015-10-21,7,2015-10-28,6,307
4,2015-10-21,11,2015-10-29,6,308
4,2015-10-21,10,2015-10-30,5,309
4,2015-10-30,10,2015-11-08,8,318
4,2015-10-30,12,2015-11-09,6,319
4,2015-10-30,13,2015-11-10,10,320
4,2015-10-30,13,2015-11-11,11,321
4,2015-10-30,15,2015-11-12,6,322
4,2015-10-30,19,2015-11-13,12,323
4,2015-11-01,14,2015-11-14,13,324
7,2015-11-25,27,2015-12-20,25,360
7,2015-11-25,27,2015-12-21,21,361
7,2015-11-25,30,2015-12-22,24,362
7,2015-11-25,32,2015-12-23,29,363
7,2015-11-25,29,2015-12-24,33,364
7,2015-11-25,33,2015-12-25,42,365
4,2015-11-28,4,2015-11-28,5,338
4,2015-11-28,4,2015-11-29,6,339
5,2015-12-01,5,2015-12-01,8,341
5,2015-12-01,5,2015-12-02,5,342
5,2015-12-01,4,2015-12-03,10,343
5,2015-06-23,5,2015-06-24,4,181
5,2015-06-23,5,2015-06-25,6,182
6,2015-07-27,2,2015-07-29,5,216
4,2015-07-22,5,2015-07-22,11,209
5,2015-06-27,23,2015-07-19,2,206
5,2015-06-27,23,2015-07-20,2,207
2,2015-07-25,10,2015-07-31,9,218
2,2015-07-25,8,2015-08-01,8,219
4,2015-09-05,5,2015-09-09,10,258
4,2015-09-05,6,2015-09-10,9,259
6,2015-02-02,15,2015-02-16,34,53
6,2015-02-02,20,2015-02-17,44,54
6,2015-02-02,20,2015-02-18,38,55
19,2015-02-22,10,2015-03-02,25,67
19,2015-02-22,11,2015-03-03,22,68
19,2015-02-22,10,2015-03-04,24,69
19,2015-02-22,15,2015-03-05,24,70
19,2015-02-22,12,2015-03-06,23,71
12,2015-03-16,9,2015-03-20,29,85
12,2015-03-16,10,2015-03-21,31,86
12,2015-03-16,11,2015-03-22,19,87
12,2015-03-16,10,2015-03-23,23,88
10,2015-03-08,1,2015-03-09,21,74
10,2015-03-08,5,2015-03-10,18,75
10,2015-03-08,8,2015-03-11,18,76
10,2015-03-08,8,2015-03-12,17,77
10,2015-03-08,7,2015-03-13,22,78
10,2015-03-08,7,2015-03-14,18,79
10,2015-03-08,7,2015-03-15,9,80
10,2015-03-08,8,2015-03-16,8,81
7,2015-03-25,32,2015-04-24,7,120
7,2015-03-27,5,2015-03-27,26,92
7,2015-03-27,2,2015-03-28,26,93
7,2015-03-27,5,2015-03-29,15,94
7,2015-03-27,4,2015-03-30,14,95
7,2015-03-27,6,2015-03-31,20,96
7,2015-03-27,10,2015-04-01,15,97
7,2015-03-27,10,2015-04-02,9,98
7,2015-03-27,11,2015-04-03,7,99
7,2015-03-27,11,2015-04-04,14,100
4,2015-04-29,7,2015-05-05,4,131
4,2015-04-29,12,2015-05-06,4,132
4,2015-04-29,9,2015-05-07,12,133
3,2015-05-29,5,2015-05-31,13,157
3,2015-05-15,0,2015-05-15,5,141
3,2015-05-21,6,2015-05-23,9,149
3,2015-06-14,3,2015-06-14,15,171
4,2015-11-06,30,2015-12-04,13,344
4,2015-11-06,31,2015-12-05,16,345
27,2015-12-25,8,2015-12-31,15,371
4,2015-07-31,2,2015-08-01,9,219
4,2015-09-04,27,2015-09-26,6,275
4,2015-09-04,24,2015-09-27,8,276
4,2015-09-04,24,2015-09-28,17,277
5,2015-09-08,5,2015-09-09,11,258
5,2015-10-05,19,2015-10-23,5,302
5,2015-10-05,19,2015-10-24,7,303
5,2015-10-20,17,2015-11-05,7,315
5,2015-10-20,21,2015-11-06,6,316
5,2015-10-20,19,2015-11-07,10,317
5,2015-10-20,24,2015-11-08,9,318
5,2015-10-20,20,2015-11-09,7,319
5,2015-10-20,24,2015-11-10,11,320
12,2014-12-06,24,2014-12-30,6,5
12,2014-12-06,28,2014-12-31,11,6
12,2014-12-06,27,2015-01-01,9,7
12,2014-12-06,27,2015-01-02,13,8
12,2014-12-06,32,2015-01-03,14,9
12,2014-12-06,33,2015-01-04,18,10
12,2014-12-06,32,2015-01-05,17,11
15,2015-01-25,12,2015-02-05,33,42
15,2015-01-25,14,2015-02-06,37,43
15,2015-01-25,15,2015-02-07,32,44
9,2015-01-22,11,2015-01-28,25,34
9,2015-01-22,7,2015-01-29,32,35
9,2015-01-22,11,2015-01-30,38,36
9,2015-01-22,14,2015-01-31,37,37
8,2015-02-16,6,2015-02-17,45,54
8,2015-02-16,5,2015-02-18,39,55
8,2015-02-16,4,2015-02-19,33,56
10,2015-03-14,6,2015-03-15,10,80
10,2015-03-14,6,2015-03-16,9,81
10,2015-03-14,7,2015-03-17,12,82
8,2015-02-22,13,2015-03-02,26,67
8,2015-02-22,10,2015-03-03,23,68
8,2015-02-22,13,2015-03-04,25,69
8,2015-02-22,15,2015-03-05,25,70
13,2015-03-19,3,2015-03-19,23,84
13,2015-03-19,4,2015-03-20,30,85
3,2015-05-22,13,2015-06-02,16,159
3,2015-06-03,0,2015-06-03,17,160
4,2015-06-05,4,2015-06-05,18,162
4,2015-06-05,1,2015-06-06,23,163
12,2015-12-23,5,2015-12-26,29,366
12,2015-12-23,9,2015-12-27,21,367
12,2015-12-23,8,2015-12-28,9,368
5,2015-08-12,28,2015-09-09,12,258
5,2015-08-12,30,2015-09-10,10,259
5,2015-10-05,20,2015-10-23,6,302
5,2015-10-05,23,2015-10-24,8,303
3,2015-11-11,5,2015-11-11,12,321
5,2015-11-04,5,2015-11-05,8,315
3,2015-12-02,10,2015-12-11,15,351
3,2015-12-02,12,2015-12-12,12,352
3,2015-12-02,14,2015-12-13,13,353
5,2015-12-03,1,2015-12-03,11,343
18,2015-01-08,4,2015-01-09,16,15
18,2015-01-08,5,2015-01-10,13,16
18,2015-01-08,4,2015-01-11,9,17
18,2015-01-08,5,2015-01-12,9,18
8,2015-01-23,1,2015-01-23,23,29
11,2015-01-17,8,2015-01-24,33,30
11,2015-01-17,9,2015-01-25,16,31
11,2015-01-17,11,2015-01-26,17,32
11,2015-01-17,15,2015-01-27,19,33
11,2015-01-17,16,2015-01-28,26,34
9,2015-02-22,22,2015-03-16,10,81
9,2015-02-22,23,2015-03-17,13,82
9,2015-02-22,25,2015-03-18,13,83
9,2015-02-22,26,2015-03-19,24,84
9,2015-02-22,31,2015-03-20,31,85
9,2015-02-22,29,2015-03-21,32,86
9,2015-02-22,33,2015-03-22,20,87
24,2015-02-15,4,2015-02-18,40,55
24,2015-02-15,8,2015-02-19,34,56
24,2015-02-15,5,2015-02-20,24,57
4,2015-03-22,4,2015-03-24,28,89
4,2015-03-22,5,2015-03-25,33,90
4,2015-03-22,7,2015-03-26,31,91
21,2015-02-25,12,2015-03-05,26,70
21,2015-02-25,14,2015-03-06,24,71
9,2015-03-01,6,2015-03-02,27,67
9,2015-03-01,6,2015-03-03,24,68
9,2015-03-01,3,2015-03-04,26,69
4,2015-03-31,5,2015-04-03,8,99
4,2015-03-31,9,2015-04-04,15,100
3,2015-05-26,10,2015-06-02,17,159
4,2015-06-05,3,2015-06-05,19,162
4,2015-06-05,3,2015-06-06,24,163
5,2015-08-07,3,2015-08-07,1,225
3,2015-07-31,3,2015-07-31,10,218
13,2014-12-13,22,2014-12-31,12,6
13,2014-12-13,23,2015-01-01,10,7
13,2014-12-13,20,2015-01-02,14,8
10,2015-01-21,9,2015-01-27,20,33
10,2015-01-21,12,2015-01-28,27,34
10,2015-01-21,13,2015-01-29,33,35
10,2015-01-21,13,2015-01-30,39,36
10,2015-01-21,11,2015-01-31,38,37
10,2015-01-21,11,2015-02-01,23,38
10,2015-01-21,12,2015-02-02,14,39
8,2015-01-24,27,2015-02-18,41,55
13,2015-03-20,2,2015-03-20,32,85
13,2015-03-20,4,2015-03-21,33,86
10,2015-03-08,2,2015-03-09,22,74
10,2015-03-08,6,2015-03-10,19,75
10,2015-03-08,4,2015-03-11,19,76
10,2015-03-08,7,2015-03-12,18,77
10,2015-03-08,9,2015-03-13,23,78
10,2015-03-24,5,2015-03-27,27,92
10,2015-03-24,9,2015-03-28,27,93
10,2015-03-24,7,2015-03-29,16,94
10,2015-03-24,9,2015-03-30,15,95
10,2015-03-24,10,2015-03-31,21,96
2,2015-05-16,14,2015-05-29,12,155
2,2015-05-16,14,2015-05-30,15,156
2,2015-05-16,15,2015-05-31,14,157
2,2015-05-16,20,2015-06-01,17,158
2,2015-05-16,19,2015-06-02,18,159
2,2015-05-16,19,2015-06-03,18,160
2,2015-05-16,21,2015-06-04,19,161
2,2015-05-16,24,2015-06-05,20,162
2,2015-05-16,25,2015-06-06,25,163
5,2015-05-25,6,2015-05-27,17,153
5,2015-05-25,7,2015-05-28,14,154
5,2015-07-02,16,2015-07-17,3,204
5,2015-07-02,19,2015-07-18,4,205
5,2015-07-02,18,2015-07-19,3,206
5,2015-07-02,19,2015-07-20,3,207
5,2015-07-02,21,2015-07-21,6,208
5,2015-07-02,24,2015-07-22,12,209
5,2015-07-02,22,2015-07-23,14,210
4,2015-07-03,35,2015-08-02,3,220
4,2015-07-03,34,2015-08-03,2,221
2,2015-07-31,2,2015-07-31,11,218
2,2015-07-31,5,2015-08-01,10,219
5,2015-08-26,0,2015-08-26,4,244
4,2015-09-22,7,2015-09-28,18,277
4,2015-09-22,8,2015-09-29,10,278
4,2015-09-22,9,2015-09-30,13,279
4,2015-09-22,13,2015-10-01,19,280
3,2015-10-23,15,2015-11-02,4,312
3,2015-10-23,16,2015-11-03,12,313
16,2015-12-30,3,2015-12-31,16,371
16,2015-12-30,7,2016-01-01,13,372
7,2015-12-22,2,2015-12-22,25,362
7,2015-12-22,4,2015-12-23,30,363
5,2015-09-20,4,2015-09-20,6,269
5,2015-09-20,6,2015-09-21,8,270
5,2015-10-05,20,2015-10-23,7,302
5,2015-10-05,23,2015-10-24,9,303
25,2015-12-30,3,2015-12-31,17,371
25,2015-12-30,7,2016-01-01,14,372
25,2015-12-30,4,2016-01-02,9,373
25,2015-12-30,4,2016-01-03,5,374
25,2015-12-30,6,2016-01-04,5,375
5,2015-12-08,13,2015-12-19,25,359
5,2015-12-08,13,2015-12-20,26,360
5,2015-12-08,16,2015-12-21,22,361
5,2015-12-08,17,2015-12-22,26,362
5,2015-12-08,19,2015-12-23,31,363
5,2015-12-08,18,2015-12-24,34,364
5,2015-12-08,21,2015-12-25,43,365
6,2015-03-21,6,2015-03-23,24,88
6,2015-03-21,8,2015-03-24,29,89
6,2015-03-21,6,2015-03-25,34,90
6,2015-03-21,7,2015-03-26,32,91
3,2015-06-03,4,2015-06-03,19,160
3,2015-06-03,4,2015-06-04,20,161
4,2015-07-31,6,2015-08-01,11,219
4,2015-08-27,18,2015-09-10,11,259
4,2015-08-27,15,2015-09-11,6,260
5,2015-08-06,4,2015-08-06,2,224
5,2015-10-01,5,2015-10-03,11,282
5,2015-10-01,6,2015-10-04,8,283
4,2015-09-22,7,2015-09-26,7,275
4,2015-09-22,5,2015-09-27,9,276
4,2015-09-22,11,2015-09-28,19,277
4,2015-09-22,11,2015-09-29,11,278
4,2015-09-22,12,2015-09-30,14,279
4,2015-09-22,13,2015-10-01,20,280
4,2015-09-22,10,2015-10-02,16,281
5,2015-10-05,20,2015-10-23,8,302
5,2015-10-05,24,2015-10-24,10,303
12,2015-01-21,15,2015-02-04,25,41
12,2015-01-21,18,2015-02-05,34,42
12,2015-01-21,18,2015-02-06,38,43
18,2015-01-08,4,2015-01-10,14,16
18,2015-01-08,3,2015-01-11,10,17
18,2015-01-08,4,2015-01-12,10,18
18,2015-01-08,7,2015-01-13,5,19
18,2015-01-08,9,2015-01-14,8,20
18,2014-12-31,2,2015-01-02,15,8
18,2014-12-31,5,2015-01-03,15,9
18,2014-12-31,8,2015-01-04,19,10
18,2014-12-31,7,2015-01-05,18,11
18,2014-12-31,11,2015-01-06,18,12
18,2014-12-31,8,2015-01-07,21,13
16,2015-01-04,4,2015-01-08,18,14
16,2015-01-04,10,2015-01-09,17,15
21,2015-02-20,6,2015-02-21,21,58
21,2015-02-20,6,2015-02-22,22,59
20,2015-02-18,0,2015-02-18,42,55
20,2015-02-18,2,2015-02-19,35,56
20,2015-02-18,2,2015-02-20,25,57
18,2015-02-09,26,2015-03-04,27,69
18,2015-02-09,26,2015-03-05,27,70
18,2015-02-09,29,2015-03-06,25,71
18,2015-02-09,31,2015-03-07,22,72
10,2015-03-16,5,2015-03-17,14,82
10,2015-03-16,7,2015-03-18,14,83
10,2015-03-16,8,2015-03-19,25,84
5,2015-03-27,9,2015-04-02,10,98
5,2015-03-27,11,2015-04-03,9,99
5,2015-03-27,8,2015-04-04,16,100
6,2015-05-02,2,2015-05-02,14,128
3,2015-06-12,3,2015-06-12,36,169
3,2015-06-12,5,2015-06-13,36,170
5,2015-07-10,29,2015-08-04,3,222
5,2015-07-10,30,2015-08-05,2,223
4,2015-09-21,11,2015-09-28,20,277
4,2015-09-21,10,2015-09-29,12,278
4,2015-09-21,12,2015-09-30,15,279
4,2015-09-21,11,2015-10-01,21,280
5,2015-10-05,18,2015-10-23,9,302
5,2015-10-05,22,2015-10-24,11,303
4,2015-10-15,6,2015-10-16,5,295
4,2015-10-15,5,2015-10-17,4,296
4,2015-10-15,4,2015-10-18,5,297
2,2015-12-10,7,2015-12-12,13,352
16,2015-12-02,25,2015-12-25,44,365
16,2015-12-02,29,2015-12-26,30,366
16,2015-12-02,25,2015-12-27,22,367
3,2015-11-20,8,2015-11-26,6,336
3,2015-11-20,10,2015-11-27,3,337
3,2015-11-20,10,2015-11-28,6,338
3,2015-11-20,14,2015-11-29,7,339
3,2015-11-20,12,2015-11-30,7,340
8,2015-12-16,6,2015-12-19,26,359
9,2015-03-02,19,2015-03-21,34,86
9,2015-03-02,20,2015-03-22,21,87
9,2015-03-02,21,2015-03-23,25,88
9,2015-03-02,25,2015-03-24,30,89
22,2015-02-20,4,2015-02-21,22,58
22,2015-02-20,2,2015-02-22,23,59
20,2015-02-18,0,2015-02-18,43,55
20,2015-02-18,3,2015-02-19,36,56
20,2015-02-18,7,2015-02-20,26,57
10,2015-03-02,26,2015-03-25,35,90
10,2015-03-02,27,2015-03-26,33,91
10,2015-03-02,26,2015-03-27,28,92
10,2015-03-02,31,2015-03-28,28,93
5,2015-04-23,3,2015-04-23,3,119
5,2015-04-15,18,2015-05-01,9,127
5,2015-04-15,17,2015-05-02,15,128
3,2015-06-12,1,2015-06-12,37,169
3,2015-06-12,1,2015-06-13,37,170
5,2015-08-03,0,2015-08-03,3,221
5,2015-08-03,2,2015-08-04,4,222
5,2015-08-03,7,2015-08-05,3,223
4,2015-08-28,12,2015-09-09,13,258
4,2015-08-28,18,2015-09-10,12,259
4,2015-09-25,7,2015-09-28,21,277
4,2015-09-25,5,2015-09-29,13,278
4,2015-09-25,8,2015-09-30,16,279
4,2015-09-25,9,2015-10-01,22,280
4,2015-10-26,4,2015-10-28,7,307
4,2015-10-26,4,2015-10-29,7,308
4,2015-10-26,7,2015-10-30,6,309
16,2014-12-31,5,2015-01-02,16,8
16,2014-12-31,5,2015-01-03,16,9
16,2014-12-31,5,2015-01-04,20,10
16,2014-12-31,5,2015-01-05,19,11
16,2014-12-31,8,2015-01-06,19,12
16,2014-12-31,11,2015-01-07,22,13
10,2015-03-02,28,2015-03-25,36,90
10,2015-03-02,25,2015-03-26,34,91
10,2015-03-02,26,2015-03-27,29,92
10,2015-03-02,31,2015-03-28,29,93
8,2015-01-24,29,2015-02-22,24,59
8,2015-01-24,31,2015-02-23,11,60
11,2015-01-19,15,2015-01-29,34,35
11,2015-01-19,14,2015-01-30,40,36
11,2015-01-19,17,2015-01-31,39,37
11,2015-01-19,16,2015-02-01,24,38
12,2015-01-21,19,2015-02-04,26,41
12,2015-01-21,20,2015-02-05,35,42
12,2015-01-21,18,2015-02-06,39,43
18,2015-01-08,4,2015-01-08,19,14
18,2015-01-08,6,2015-01-09,18,15
18,2015-01-08,6,2015-01-10,15,16
18,2015-01-08,3,2015-01-11,11,17
18,2015-01-08,8,2015-01-12,11,18
4,2015-07-04,21,2015-07-23,15,210
4,2015-07-04,21,2015-07-24,12,211
3,2015-06-10,4,2015-06-12,38,169
2,2015-06-12,3,2015-06-12,39,169
2,2015-06-12,6,2015-06-13,38,170
2,2015-06-12,6,2015-06-14,16,171
3,2015-05-08,25,2015-05-28,15,154
3,2015-05-08,23,2015-05-29,13,155
3,2015-05-08,23,2015-05-30,16,156
3,2015-05-08,25,2015-05-31,15,157
3,2015-05-08,26,2015-06-01,18,158
3,2015-05-08,30,2015-06-02,19,159
3,2015-05-08,27,2015-06-03,20,160
3,2015-05-08,31,2015-06-04,21,161
3,2015-05-08,29,2015-06-05,21,162
3,2015-05-08,29,2015-06-06,26,163
5,2015-03-16,4,2015-03-20,33,85
5,2015-03-16,9,2015-03-21,35,86
5,2015-03-16,11,2015-03-22,22,87
5,2015-03-16,11,2015-03-23,26,88
5,2015-03-16,11,2015-03-24,31,89
5,2015-08-14,4,2015-08-14,4,232
5,2015-08-14,6,2015-08-15,4,233
5,2015-08-14,3,2015-08-16,6,234
5,2015-08-14,6,2015-08-17,6,235
5,2015-10-05,4,2015-10-07,10,286
7,2015-11-25,29,2015-12-20,27,360
7,2015-11-25,30,2015-12-21,23,361
7,2015-11-25,28,2015-12-22,27,362
7,2015-11-25,29,2015-12-23,32,363
7,2015-11-25,34,2015-12-24,35,364
10,2015-12-02,18,2015-12-19,27,359
3,2015-10-23,13,2015-11-03,13,313
3,2015-10-23,12,2015-11-04,10,314
3,2015-10-23,17,2015-11-05,9,315
3,2015-10-23,16,2015-11-06,7,316
3,2015-10-23,20,2015-11-07,11,317
13,2014-12-18,23,2015-01-07,23,13
7,2015-02-17,1,2015-02-17,46,54
8,2015-02-04,1,2015-02-04,27,41
8,2015-02-04,2,2015-02-05,36,42
10,2015-01-21,13,2015-01-29,35,35
10,2015-01-21,9,2015-01-30,41,36
10,2015-01-21,11,2015-01-31,40,37
10,2015-01-21,14,2015-02-01,25,38
10,2015-01-21,12,2015-02-02,15,39
10,2015-01-21,17,2015-02-03,17,40
9,2015-01-12,10,2015-01-21,3,27
9,2015-01-12,12,2015-01-22,4,28
9,2015-01-12,14,2015-01-23,24,29
9,2015-01-12,14,2015-01-24,34,30
9,2015-01-12,16,2015-01-25,17,31
3,2015-06-05,6,2015-06-06,27,163
13,2015-03-26,6,2015-03-27,30,92
13,2015-03-26,2,2015-03-28,30,93
2,2015-11-24,2,2015-11-25,6,335
17,2015-12-21,8,2015-12-25,45,365
17,2015-12-21,6,2015-12-26,31,366
7,2015-12-22,1,2015-12-22,28,362
7,2015-12-22,3,2015-12-23,33,363
4,2015-10-05,20,2015-10-22,7,301
4,2015-10-05,18,2015-10-23,10,302
4,2015-10-05,19,2015-10-24,12,303
5,2015-10-11,25,2015-11-01,3,311
5,2015-10-11,23,2015-11-02,5,312
5,2015-10-11,23,2015-11-03,14,313
5,2015-10-11,26,2015-11-04,11,314
4,2015-11-07,7,2015-11-13,13,323
4,2015-11-07,10,2015-11-14,14,324
4,2015-09-04,24,2015-09-26,8,275
4,2015-09-04,23,2015-09-27,10,276
4,2015-09-04,29,2015-09-28,22,277
5,2015-04-14,8,2015-04-17,3,113
5,2015-04-14,5,2015-04-18,9,114
4,2015-05-19,22,2015-06-05,22,162
4,2015-05-19,21,2015-06-06,28,163
